,w,thetav
775,-0.016,294.4131185743602
776,0.37575,294.3647245121876
777,0.17600000000000002,294.3491641795126
778,0.06500001,294.33187038906914
779,-0.1745,294.39627606995623
780,-0.21625,294.3668654878485
781,-0.096,294.3276870543126
782,-0.1465,294.35433396238693
783,-0.0185,294.3928495943708
784,0.09625001,294.3634390122631
785,0.29,294.3197871687416
786,0.2575,294.38199790901024
787,0.16899999999999998,294.3474205249337
788,0.26575,294.2973235954238
789,0.47,294.26794658465275
790,0.578,294.41483163850796
791,0.8150001,294.29557994084485
792,0.73,294.32541125197196
793,0.826,294.20991283048414
794,0.6985,294.2558123802732
795,0.8590000000000001,294.33012673449025
796,0.73075,294.3456870671652
797,0.7445,294.2471654850514
798,0.80225,294.2731163675271
799,0.6792501,294.323213297037
800,0.4855,294.3244519155134
801,0.3425,294.4961104142302
802,0.2895,294.5306470110651
803,0.28025,294.4632155038701
804,0.2255,294.44422904289974
805,0.2225,294.43906945683585
806,0.1865,294.4857096676192
807,0.168,294.421765469582
808,0.1375,294.48695181861757
809,0.22625,294.41009414858166
810,0.29825,294.27530924438
811,0.36375,294.24592925580436
812,0.32075,294.25013594577047
813,0.337,294.2973235954238
814,0.4085,294.23334880695535
815,0.42875,294.29557994084485
816,0.44675,294.21778847428044
817,0.93725,294.24548301133495
818,1.02675,294.28344573646535
819,0.65075,294.3785717807149
820,0.7125,294.368150640483
821,0.6665,294.3659028508873
822,0.7979999999999999,294.3478873001569
823,0.5502501000000001,294.41656509627643
824,0.41625,294.32224214284076
825,0.3985,294.28518939104424
826,0.78025,294.27556486300335
827,0.445,294.25974733442985
828,0.51075,294.25929968943103
829,0.4955,294.2225019888545
830,0.50575,294.3244519155134
831,0.63475,294.27776990268643
832,0.65925,294.20694131791214
833,0.87925,294.322708223029
834,0.8445001,294.3617053787824
835,1.018,294.2631738100152
836,0.5625,294.3132758176072
837,0.49525,294.3409731619222
838,0.6455,294.2617492854194
839,0.56975,294.19829423471487
840,0.7992501000000001,294.2506425973989
841,0.8285,294.2230194380171
842,0.83575,294.21087503682713
843,0.7600001000000001,294.1728511308344
844,0.9285001,294.26794658465275
845,1.04175,294.21778847428044
846,0.9300001,294.32715508329665
847,1.022,294.2631738100152
848,1.16975,294.2614299786905
849,0.987,294.1905957542383
850,1.1445,294.2528433940391
851,1.1665,294.1995842842903
852,1.0545,294.2528433940391
853,0.94025,294.3132758176072
854,0.70025,294.1767776756128
855,0.75025,294.2769918886407
856,0.7085,294.2769918886407
857,0.6382501,294.24967722353045
858,0.75725,294.2212757834383
859,1.0785,294.1822816753162
860,0.9562501,294.2523862519778
861,0.84475,294.22366741121897
862,0.6875001000000001,294.2703954919074
863,0.66825,294.2017102404591
864,0.7675,294.1797645682876
865,0.62225,294.17808209457115
866,0.57375,294.23334880695535
867,0.79725,294.22643536950216
868,0.76875,294.2017102404591
869,0.26,294.13831453399945
870,0.17275,294.1573213885906
871,0.09325001,294.16545979144206
872,0.0555,294.18666780893045
873,0.5095,294.2005456678889
874,0.45275,294.2034539329435
875,0.40325,294.2161060005639
876,0.45175,294.2022281416054
877,0.30525,294.2506425973989
878,0.27725,294.35776009068235
879,0.17375,294.22817902408104
880,0.24775,294.28518939104424
881,0.37325,294.2846732933993
882,0.13075,294.2696290583693
883,0.56275,294.1452483650735
884,0.379,294.2230194380171
885,0.387,294.2350924615343
886,0.18625,294.20571545076325
887,0.34275,294.3059093097831
888,0.29175,294.274860022106
889,-0.39299999999999996,294.16077810731724
890,-0.0395,294.27654249582247
891,-0.2745,294.4822937361341
